,DATE,STEP,NPD_WELL_BORE_NAME,BTHP,BTHT,DP,CS,WHP,WHT,OIL,GAS,WATER
786,2011-09-22,1318,15/9-F-14,244.420816875,103.24566520833334,207.06415145833333,92.633111875,37.356665416666665,89.87170895833333,1789.52,281530.18,4478.37
787,2011-09-23,1319,15/9-F-14,244.17157020833332,103.245114375,207.15671520833334,99.999659375,37.014855,90.47515708333333,1808.7,283237.91,4530.02
788,2011-09-24,1320,15/9-F-14,244.18906604166668,103.23986479166666,207.258096875,100.0,36.930969166666664,89.98986666666667,1804.22,283201.7,4525.49
789,2011-09-25,1321,15/9-F-14,244.256835,103.234479375,207.36152104166666,100.0,36.89531395833333,89.90907875,1804.12,283162.87,4535.28
790,2011-09-26,1322,15/9-F-14,244.23727875,103.23031895833333,207.38338083333332,100.0,36.85389791666667,89.98205375,1803.45,282765.6,4545.82
791,2011-09-27,1323,15/9-F-14,244.28513833333332,103.22499729166667,207.48900916666668,100.0,36.79612916666667,90.094203125,1797.79,281959.39,4550.59
792,2011-09-28,1324,15/9-F-14,244.35276875,103.21940604166667,207.573409375,100.0,36.779359375,89.77271458333334,1685.26,264623.98,4197.74
793,2011-09-29,1325,15/9-F-14,244.41965957446808,103.21320914893617,208.4996339494681,98.090223125,35.920025625,87.97772510638298,1700.15,267135.22,4298.01
794,2011-09-30,1326,15/9-F-14,244.38231,103.20439291666666,207.70289270833334,100.0,36.67941729166667,89.92664958333333,1678.14,263976.04,4253.4
795,2011-10-01,1327,15/9-F-14,244.22668666666667,103.19242104166666,207.56035333333332,100.0,36.666333333333334,90.8468,1672.21,262906.82,4229.11
796,2011-10-02,1328,15/9-F-14,244.37722479166666,103.18499833333334,207.65924145833333,100.0,36.717983333333336,91.21041520833333,1661.5,262094.16,4211.79
797,2011-10-03,1329,15/9-F-14,244.52168145833335,103.17836166666666,207.86893666666666,100.0,36.65274479166667,90.03613854166667,1656.96,261354.4,4223.13
798,2011-10-04,1330,15/9-F-14,244.64292166666667,103.17115666666666,208.00813458333334,100.0,36.634787083333336,89.115526875,1650.25,260480.93,4229.6
799,2011-10-05,1331,15/9-F-14,244.70931604166665,103.16198729166666,208.092581875,100.0,36.61673416666667,89.67884541666666,1646.68,260039.67,4237.76
800,2011-10-06,1332,15/9-F-14,244.76898291666666,103.153155,208.145965625,100.0,36.62301729166666,90.540768125,1644.21,259681.28,4235.14
801,2011-10-07,1333,15/9-F-14,246.75595341781573,103.14345939797532,208.25761611209037,50.679230833333335,38.498337305725364,90.30099005575885,1127.72,152242.35,2464.9
802,2011-10-08,1334,15/9-F-14,252.825307518037,102.94622284778144,209.70028478391868,42.918163541666665,43.12502273411833,82.1947404918813,680.02,111801.93,2340.56
803,2011-10-09,1335,15/9-F-14,246.206653125,103.09504583333333,207.92366333333334,91.93674041666667,38.282989791666665,89.86792229166667,1500.57,238555.04,4159.24
804,2011-10-10,1336,15/9-F-14,246.92368979166667,103.08211541666667,208.09264854166668,87.723018125,38.83104125,90.71503854166667,1480.37,235543.06,3943.73
805,2011-10-11,1337,15/9-F-14,244.786209375,103.101565625,208.264554375,99.96815083333334,36.521655,90.84950583333334,1538.0,243720.87,4044.32
806,2011-10-12,1338,15/9-F-14,244.869318125,103.093726875,208.34341041666667,100.0,36.525907708333335,90.95665729166667,1551.83,244870.31,4048.74
807,2011-10-13,1339,15/9-F-14,244.89045041666665,103.08152083333333,208.33561833333334,100.0,36.55483208333333,90.944008125,1566.75,244864.12,4049.79
808,2011-10-14,1340,15/9-F-14,249.93986730314361,103.01976394396537,209.79825037939113,73.76722625,40.141616923752466,85.0572336004224,1218.73,194540.89,3260.74
